"","X","time","value"
"208",208,2007.75,2.562
"209",209,2008,2.183
"210",210,2008.25,2.558
"211",211,2008.5,2.612
"212",212,2008.75,2.373
"213",213,2009,1.963
"214",214,2009.25,2.16
"215",215,2009.5,2.325
"216",216,2009.75,2.273
"217",217,2010,1.904
"218",218,2010.25,2.401
"219",219,2010.5,2.494
"220",220,2010.75,2.296
"221",221,2011,2.055
"222",222,2011.25,2.273
"223",223,2011.5,2.499
"224",224,2011.75,2.39
"225",225,2012,2.067
"226",226,2012.25,2.223
"227",227,2012.5,2.451
"228",228,2012.75,2.503
"229",229,2013,2.049
"230",230,2013.25,2.528
"231",231,2013.5,2.637
"232",232,2013.75,2.565
"233",233,2014,2.229
